"Timestamp","Why do you drink coffee?","What is your favorite coffee shop on campus?","Which coffee shop do you visit most frequently?","What's the deciding factor that prompts you to choose one cafe over another? "
"2018/12/09 5:23:28 下午 GMT-5","Keeps me awake;I love coffee's flavor;I have too many Dooley dollars","Starbuck's","Starbuck's","Location (convenience);Taste"
"2018/12/09 5:24:55 下午 GMT-5","Keeps me awake","Kaldi's","Highland Bakery","Location (convenience);Taste"
"2018/12/09 5:42:53 下午 GMT-5","Keeps me awake","Starbuck's","Starbuck's","Location (convenience)"
"2018/12/09 5:47:40 下午 GMT-5","Keeps me awake;I love coffee's flavor","Other","Other","Price"
"2018/12/09 5:47:55 下午 GMT-5","I don't drink coffee.","I don't drink coffee.","I don't drink coffee.","Location (convenience)"
"2018/12/09 5:48:18 下午 GMT-5","Keeps me awake;I love coffee's flavor","Starbuck's","Kaldi's","Location (convenience)"
"2018/12/09 5:48:26 下午 GMT-5","Keeps me awake;Coffee shops are where all my studying and socializing gets done;I love coffee's flavor","Starbuck's","Highland Bakery","Location (convenience);Taste"
"2018/12/09 5:48:40 下午 GMT-5","Coffee shops are where all my studying and socializing gets done;I love coffee's flavor","Kaldi's","Kaldi's","Location (convenience);Taste"
"2018/12/09 5:48:49 下午 GMT-5","I love coffee's flavor","Highland Bakery","Other","Location (convenience)"
"2018/12/09 5:48:55 下午 GMT-5","Keeps me awake","Highland Bakery","Other","Location (convenience)"
"2018/12/09 5:49:00 下午 GMT-5","Keeps me awake;I love coffee's flavor","Highland Bakery","Highland Bakery","Location (convenience);Taste"
"2018/12/09 5:49:11 下午 GMT-5","Keeps me awake;Coffee shops are where all my studying and socializing gets done","Starbuck's","Starbuck's","Taste"
"2018/12/09 5:49:47 下午 GMT-5","Keeps me awake","Starbuck's","Starbuck's","Taste"
"2018/12/09 5:49:49 下午 GMT-5","Keeps me awake","Starbuck's","Highland Bakery","Location (convenience)"
"2018/12/09 5:50:08 下午 GMT-5","Keeps me awake","Starbuck's","Starbuck's","Taste"
"2018/12/09 5:50:14 下午 GMT-5","I don't drink coffee.","I don't drink coffee.","I don't drink coffee.","Location (convenience)"
"2018/12/09 5:50:20 下午 GMT-5","Keeps me awake;I love coffee's flavor;I have too many Dooley dollars","Starbuck's","Starbuck's","Location (convenience);Taste"
"2018/12/09 5:50:54 下午 GMT-5","Keeps me awake","Kaldi's","Kaldi's","Location (convenience)"
"2018/12/09 5:51:01 下午 GMT-5","Keeps me awake","Starbuck's","Starbuck's","Location (convenience)"
"2018/12/09 5:51:04 下午 GMT-5","I have too many Dooley dollars","Starbuck's","Starbuck's","Location (convenience);Taste;Price;Staff Friendliness"
"2018/12/09 5:51:31 下午 GMT-5","Keeps me awake","Starbuck's","Kaldi's","Taste"
"2018/12/09 5:51:41 下午 GMT-5","Keeps me awake","Starbuck's","Other","Location (convenience);Price"
"2018/12/09 5:52:28 下午 GMT-5","Keeps me awake","Starbuck's","Starbuck's","Taste;Price"
"2018/12/09 5:52:32 下午 GMT-5","I love coffee's flavor","Starbuck's","Highland Bakery","Location (convenience)"
"2018/12/09 5:54:51 下午 GMT-5","I love coffee's flavor","Other","Other","Location (convenience);Taste;Price"
"2018/12/09 5:54:54 下午 GMT-5","Keeps me awake","Kaldi's","Kaldi's","Location (convenience)"
"2018/12/09 5:55:39 下午 GMT-5","I love coffee's flavor","Starbuck's","Starbuck's","Location (convenience)"
"2018/12/09 5:56:25 下午 GMT-5","I don't drink coffee.","I don't drink coffee.","I don't drink coffee.",""
"2018/12/09 5:56:28 下午 GMT-5","I don't drink coffee.","I don't drink coffee.","I don't drink coffee.","Location (convenience);Taste;Price"
"2018/12/09 5:56:29 下午 GMT-5","Keeps me awake","Starbuck's","Starbuck's","Taste"
"2018/12/09 5:57:00 下午 GMT-5","Coffee shops are where all my studying and socializing gets done;I love coffee's flavor","Kaldi's","Kaldi's","Location (convenience);Taste"
"2018/12/09 5:57:22 下午 GMT-5","Keeps me awake;I love coffee's flavor","Starbuck's","Highland Bakery","Location (convenience);Taste;Price"
"2018/12/09 5:57:43 下午 GMT-5","Keeps me awake","Kaldi's","Starbuck's","Location (convenience)"
"2018/12/09 5:59:57 下午 GMT-5","I love coffee's flavor","Kaldi's","Kaldi's","Location (convenience);Price"
"2018/12/09 6:00:09 下午 GMT-5","I don't drink coffee.","Kaldi's","Kaldi's","Location (convenience)"
"2018/12/09 6:00:30 下午 GMT-5","Keeps me awake","Kaldi's","Starbuck's","Location (convenience);Taste"
